ID,Group,Task,Distance,Trial_ID,Start,End,CorrectDJ,Session,Trial,DJ,DJ_Duration,Navi_Duration,side1,side2,session_start,initial_position,DC_start,DJ_start,DJ_end,navi_start,navi_end,fixation,ini_start_T,DC_start_T,DJ_start_T,rev_start_T,navi_start_T,navi_end_T
MOP001,Old,SP,Near,5,誠品,麥當勞,7,6,3,13,4.113,19.5,(B)麥當勞,(C)誠品,51:32.1,52:40.2,52:42.2,52:46.3,52:50.4,52:52.6,53:12.1,67.663,68.163,70.164,74.184,78.297,80.481,80.734
MOP001,Old,SP,Moderate,10,台灣彩券,星巴克,11,6,4,13,4.421,14,(D)星巴克,(E)台灣彩券,51:32.1,53:14.7,53:16.8,53:20.8,53:25.2,53:27.3,53:41.3,102.18,102.68,104.696,108.714,113.135,115.234,115.483
MOP001,Old,SP,Far,25,肯德基,寶雅,20,6,5,13,3.147,25.5,(F)寶雅,(G)肯德基,51:32.1,53:44.0,53:46.0,53:50.0,53:53.2,53:55.3,54:20.8,131.434,131.934,133.947,137.968,141.115,143.218,143.485
MOP001,Old,SP,Near,2,麥當勞,全國電子,6,6,6,13,1.818,35.5,(A)全國電子,(B)麥當勞,51:32.1,54:23.5,54:25.5,54:29.5,54:31.3,54:33.6,55:09.1,170.934,171.434,173.447,177.447,179.265,181.48,181.733
MOP001,Old,SP,Moderate,19,爭鮮,誠品,15,6,7,13,3.564,31.75,(C)誠品,(H)爭鮮,51:32.1,55:11.8,55:13.8,55:17.8,55:21.3,55:23.5,55:55.3,219.18,219.68,221.685,225.685,229.249,231.469,231.719
MOP001,Old,SP,Near,1,寶雅,台灣彩券,5,7,1,6,3.745,6.75,(E)台灣彩券,(F)寶雅,58:11.3,58:11.3,58:13.3,58:17.3,58:21.0,58:23.2,58:30.0,-0.5,0,1.998,6.018,9.763,11.983,12.247
MOP001,Old,SP,Near,7,麥當勞,爭鮮,8,7,2,13,1.684,16.5,(B)麥當勞,(H)爭鮮,58:11.3,58:32.7,58:34.7,58:38.7,58:40.4,58:42.5,58:59.0,20.947,21.447,23.463,27.483,29.167,31.25,31.496
MOP001,Old,SP,Far,24,全國電子,肯德基,20,7,3,13,2.685,23.25,(A)全國電子,(G)肯德基,58:11.3,59:01.7,59:03.7,59:07.7,59:10.4,59:12.5,59:35.7,49.914,50.414,52.43,56.447,59.132,61.249,61.497
MOP001,Old,SP,Moderate,13,誠品,全國電子,13,7,4,13,2.172,13.75,(A)全國電子,(C)誠品,58:11.3,59:38.4,59:40.4,59:44.4,59:46.6,59:48.7,00:02.5,86.68,87.18,89.18,93.18,95.352,97.483,97.75
MOP001,Old,SP,Far,22,星巴克,誠品,17,7,5,13,3.223,21.25,(C)誠品,(D)星巴克,58:11.3,00:05.2,00:07.2,00:11.2,00:14.4,00:16.5,00:37.7,113.414,113.914,115.931,119.947,123.17,125.247,125.485
MOP001,Old,SP,Moderate,14,肯德基,星巴克,14,7,6,12,3.534,14,(D)星巴克,(G)肯德基,58:11.3,00:40.4,00:42.5,00:46.5,00:50.0,00:52.2,01:06.2,148.683,149.183,151.217,155.231,158.765,160.985,161.234
MOP001,Old,SP,Moderate,18,台灣彩券,麥當勞,15,7,7,11,2.77,66.25,(B)麥當勞,(E)台灣彩券,58:11.3,01:08.9,01:11.0,01:15.0,01:17.7,01:19.7,02:26.0,177.185,177.685,179.701,183.699,186.469,188.486,188.733
